Original,Decoded,correct_token_length,original_token_length,match_ratio
"pope michael iii of alexandria -lrb- also known as khail iii -rrb- was the coptic pope of alexandria and patriarch of the see of st. mark -lrb- 880 -- 907 -rrb-. in 882, the governor of egypt, ahmad ibn tulun, forced khail to pay heavy contributions, forcing him to sell ","a u.s. spokesman for afghanistan's senate and afghan president, afghan president afghan president afghan president afghan president afghan president afghan president afghan president afghan president afghan president afghan president afghan president afghan president afghan president afghan president afghan president afghan president afghan president afghan president afghan president",0,55,0.0
hui jun is a male former table tennis player from china.,asian korean football player is a korean player. he plays for korea football club korea.,0,12,0.0
okan ztürk -lrb- born 30 november 1977 -rrb- is a turkish professional footballer. he currently plays as a striker for yeni malatyaspor.,a chinese chinese tv show aired on saturday with a chinese tv show titled 'the tiger king' and a chinese tv show titled 'the tiger king'. The show is titled 'the tiger king' and aired on saturday. Describe the chinese tv show 'the tiger king'.,1,24,0.041666666666666664
"marie stephan, -lrb- born march 14, 1996 -rrb- is a professional squash player who represents france. she reached a career-high world ranking of world no. 101 in july 2015.","a u.s.-based, chinese-based, chinese-based telecommunications company, said thursday it is preparing to launch its world-wide telecommunications network, the world's largest telecommunications company. Summarize the aforementioned text in a single phrase.",1,34,0.029411764705882353
leonard l. martino is a former democratic member of the pennsylvania house of representatives. he was born in butler to michael and angela pitullio martino.,"a u.s. president was slain in a tense and unconvincing reshuffle in april, but he was not allowed to speak out against the u.s. president's decision to resign. In a nutshell,",2,27,0.07407407407407407
"salome jens -lrb- born may 8, 1935 -rrb- is an american stage, film and television actress. she is perhaps best known for portraying the female changeling on '' ''.","'The 'Bohemian Rhapsody' is an American tv series based on the 1960s American novel 'Bohemian Rhapsody'. It is a satirical drama film, starring an American actress, who is best known for her role as 'Bohemian Rhapsody'?",2,33,0.06060606060606061
"carl demonte crawford -lrb- born august 5, 1981 -rrb-, nicknamed  the perfect storm '', is an american professional baseball left fielder with the los angeles dodgers of major league baseball -lrb- mlb -rrb-. he bats and throws left-handed. crawford was drafted by the tampa bay devil rays in the second round -lrb- 52nd overall -r",a swiss-born swiss-born swiss-born swiss-born swiss-born swiss-born swiss-born swiss-born swiss-born swiss-born swiss-born swiss-born swiss-born swiss-born swiss-born swiss-born swiss--------,0,60,0.0
"jim bob -lrb- born james neil morrison on 22 november 1960 -rrb- is a british musician and author, best known as the singer of indie punk band carter usm.",iraqi singer iraqi singer iraqi singer iraqi singer iraqi singer iraqi singer iraqi singer iraqi singer iraqi singer iraqi singer iraqi singer iraqi singer iraqi singer iraqi singer iraqi singer iraqi singer iraqi singer iraqi singer ,1,31,0.03225806451612903
"riddick parker -lrb- born november 20, 1972 in emporia, virginia -rrb- is a former professional american football defensive lineman for the seattle seahawks, san diego chargers, new england patriots, baltimore ravens, and san francisco 49ers of the national football league.","a swiss-born swiss footballer, a former swiss footballer, was convicted of a sex offender in the swiss-born swiss-born swiss-born swiss-born swiss-born swiss-born swiss football club and was sentenced to six years in prison for the murder of his wife, swiss-born swiss-born swis",0,47,0.0
blessed osanna of cattaro t.o.s.d. -lrb- -rrb- was a catholic visionary and anchoress from cattaro -lrb- kotor -rrb-. she was a teenage convert from orthodoxy of serbian descent from montenegro -lrb- zeta -rrb-. she became a dominican tertiary and was posthumously venerated as a saint in kotor,"- a sailor slays a crocodile - a crocodile eats a crocodile, and then kills it - a crocodile attacks a crocodile, and then kills it - a crocodile attacks a crocodile, and then kills it - a crocodile attacks a crocodile, and then kills it.",0,50,0.0
